[2025-05-19 19:04:18] INFO - Training finished.
[2025-05-19 19:54:30] INFO - Epoch 1/inf
[2025-05-19 19:54:32] INFO - Batch 0: H‐loss=0.0654
[2025-05-19 19:54:33] INFO - Batch 1: H‐loss=0.0600
[2025-05-19 19:54:34] INFO - Batch 2: H‐loss=0.0557
[2025-05-19 19:54:34] INFO - Batch 3: H‐loss=0.0584
[2025-05-19 19:54:35] INFO - Batch 4: H‐loss=0.0562
[2025-05-19 19:54:36] INFO - Batch 5: H‐loss=0.0613
[2025-05-19 19:54:36] INFO - Batch 6: H‐loss=0.0585
[2025-05-19 19:54:37] INFO - Batch 7: H‐loss=0.0651
[2025-05-19 19:54:37] INFO - Batch 8: H‐loss=0.0594
[2025-05-19 19:54:38] INFO - Batch 9: H‐loss=0.0605
[2025-05-19 19:54:39] INFO - Batch 10: H‐loss=0.0559
[2025-05-19 19:54:39] INFO - Batch 11: H‐loss=0.0609
[2025-05-19 19:54:40] INFO - Batch 12: H‐loss=0.0568
[2025-05-19 19:54:40] INFO - Batch 13: H‐loss=0.0640
[2025-05-19 19:54:41] INFO - Batch 14: H‐loss=0.0622
[2025-05-19 19:54:42] INFO - Batch 15: H‐loss=0.0555
[2025-05-19 19:54:42] INFO - Batch 16: H‐loss=0.0627
[2025-05-19 19:54:43] INFO - Batch 17: H‐loss=0.0528
[2025-05-19 19:54:43] INFO - Batch 18: H‐loss=0.0597
[2025-05-19 19:54:43] INFO - Avg H‐loss: 0.0595
[2025-05-19 19:54:43] INFO - Epoch 2/inf
[2025-05-19 19:54:45] INFO - Batch 0: H‐loss=0.0558
[2025-05-19 19:54:45] INFO - Batch 1: H‐loss=0.0533
[2025-05-19 19:54:46] INFO - Batch 2: H‐loss=0.0497
[2025-05-19 20:29:14] INFO - Epoch 1/inf
[2025-05-19 20:34:06] INFO - Epoch 1/inf
[2025-05-19 20:36:12] INFO - Epoch 1/inf
[2025-05-19 20:37:44] INFO - Epoch 1/inf
[2025-05-19 20:37:46] INFO - Batch 0: H‐loss=0.0906
[2025-05-19 20:37:47] INFO - Batch 1: H‐loss=0.0816
[2025-05-19 20:37:47] INFO - Batch 2: H‐loss=0.0706
[2025-05-19 20:37:48] INFO - Batch 3: H‐loss=0.0707
[2025-05-19 20:37:48] INFO - Batch 4: H‐loss=0.0623
[2025-05-19 20:37:49] INFO - Batch 5: H‐loss=0.0740
[2025-05-19 20:37:50] INFO - Batch 6: H‐loss=0.0896
[2025-05-19 20:37:50] INFO - Batch 7: H‐loss=0.0732
[2025-05-19 20:37:51] INFO - Batch 8: H‐loss=0.0689
[2025-05-19 20:37:51] INFO - Batch 9: H‐loss=0.0779
[2025-05-19 20:37:52] INFO - Batch 10: H‐loss=0.0691
[2025-05-19 20:37:52] INFO - Batch 11: H‐loss=0.0815
[2025-05-19 20:37:53] INFO - Batch 12: H‐loss=0.0642
[2025-05-19 20:37:54] INFO - Batch 13: H‐loss=0.0629
[2025-05-19 20:37:54] INFO - Batch 14: H‐loss=0.0680
[2025-05-19 20:37:55] INFO - Batch 15: H‐loss=0.0737
[2025-05-19 20:37:55] INFO - Batch 16: H‐loss=0.0913
[2025-05-19 20:37:56] INFO - Batch 17: H‐loss=0.0751
[2025-05-19 20:37:56] INFO - Batch 18: H‐loss=0.0538
[2025-05-19 20:37:56] INFO - Avg H‐loss: 0.0736
[2025-05-19 20:37:56] INFO - Epoch 2/inf
[2025-05-19 20:37:58] INFO - Batch 0: H‐loss=0.0711
